2000,0,2,2
P00275,B002,3,0
P00323,B012,3,0
P00323,B012,3,0
P00323,B014,3,0
P00017,B016,2,1
P00323,B014,3,0
P00017,B016,2,1
P00323,B015,3,0
P00323,B015,3,0
P00323,B016,3,0
P00323,B016,3,0
P00323,B017,3,0
P00323,B017,3,0
P00323,B018,3,0
P00323,B018,3,0
P00279,B007,2,1
P00279,B007,2,1
P00009,B036,3,1
P00018,B031,3,1
P00018,B031,3,1
P00018,B032,3,1
P00018,B032,3,1
P00009,B035,3,1
P00019,B048,3,1
P00019,B048,3,1
P00262,B003,1,1
P00262,B003,1,1
P00072,B028,1,1
P00290,B016,1,1
P00073,B037,1,1
P00290,B016,1,1
P00039,B006,2,1
P00296,B006,1,1
P00028,B024,2,1
P00296,B006,1,1
P00025,B088,2,1
P00028,B025,2,1
P00297,B007,1,1
P00297,B007,1,1
P00025,B119,1,3
P00025,B119,1,3
P00022,B011,2,1
P00022,B011,2,1
P00022,B010,2,1
P00022,B010,2,1
P00022,B009,2,1
P00022,B009,2,1
P00025,B121,1,1
P00025,B121,1,1
P00007,B158,2,2
P00007,B158,2,2
P00007,B160,2,1
P00007,B160,2,1
P00007,B161,2,2
P00007,B161,2,2
P00007,B162,2,1
P00007,B162,2,1
P00025,B122,1,1
P00025,B122,1,1
P00312,B001,2,2
P00312,B001,2,2
P00014,B060,1,2
P00014,B060,1,2
P00014,B061,1,1
P00014,B061,1,1
P00014,B062,1,1
P00014,B063,1,1
P00014,B063,1,1
P00014,B064,1,1
P00014,B064,1,1
14107,1,2,1
P00014,B065,1,1
14107,2,2,1
P00014,B065,1,1
14107,3,2,1
P00014,B066,1,1
14107,4,2,1
P00014,B066,1,1
14107,5,2,1
P00302,B003,2,2
P00302,B003,2,2
P00016,B102,3,1
P00016,B102,3,1
P00016,B103,3,1
P00016,B103,3,1
P00016,B104,1,2
P00016,B104,1,2
P00016,B105,1,1
P00016,B105,1,1
P00219,B007,2,1
P00001,B028,1,1
P00158,B001,2,2
P00158,B002,2,2
P00158,B003,2,2
P00158,B004,2,2
P00001,B048,2,1
P00001,B069,2,1
P00001,B070,2,2
P00001,B071,2,1
P00122,B022,2,1
P00001,B084,1,1
P00001,B085,1,1
P00025,B103,2,2
P00025,B103,2,2
P00025,B104,2,2
P00025,B104,2,2
P00025,B105,2,2
P00025,B105,2,2
P00025,B106,2,2
P00025,B106,2,2
P00025,B107,2,1
P00025,B107,2,1
P00025,B108,2,2
P00025,B108,2,2
P00025,B109,1,1
P00025,B109,1,1
P00004,B031,1,1
P00004,B032,1,1
P00004,B033,1,2
P00026,B084,2,1
P00026,B084,2,1
P00025,B110,2,1
P00025,B110,2,1
P00025,B111,2,2
P00025,B111,2,2
P00001,B086,1,1
P00290,B015,1,1
P00290,B015,1,1
P00034,B047,2,1
P00034,B048,2,1
2000,B004,2,2
2000,B005,2,2
2000,B006,2,2
2000,B007,2,3
P00314,B001,1,1
P00314,B001,1,1
P00314,B002,1,1
P00314,B002,1,1
P00314,B005,1,1
P00314,B005,1,1
P00314,B006,1,1
P00314,B006,1,1
P00314,B007,1,3
P00314,B007,1,3
P00314,B008,1,1
P00314,B008,1,1
P00314,B009,1,1
P00314,B009,1,1
P00314,B010,1,1
P00314,B010,1,1
P00314,B011,1,1
P00314,B011,1,1
P00314,B012,1,1
P00314,B012,1,1
P00001,B224,3,5
P00291,B011,1,1
P00291,B011,1,1
P00007,B044,3,0
P00315,B001,3,0
P00007,B045,3,0
P00315,B001,3,0
P00315,B002,3,0
P00047,B024,2,1
P00315,B002,3,0
P00047,B025,2,1
P00047,B026,2,1
P00047,B027,2,1
P00315,B004,3,0
P00315,B004,3,0
P00315,B005,3,0
P00315,B005,3,0
P00074,B006,2,1
P00315,B006,3,0
P00074,B007,2,1
P00315,B006,3,0
P00074,B008,2,1
P00074,B009,2,1
P00315,B007,3,0
P00316,B001,1,2
P00316,B001,1,2
P00316,B002,1,1
P00316,B002,1,1
P00316,B003,1,2
P00316,B003,1,2
P00004,B051,2,2
P00004,B051,2,2
P00004,B052,2,2
P00004,B052,2,2
P00004,B053,1,2
P00004,B053,1,2
P00004,B054,2,1
P00004,B054,2,1
P00004,B055,1,2
P00004,B055,1,2
P00004,B056,1,1
P00004,B056,1,1
P00004,B057,1,1
P00004,B057,1,1
P00004,B058,1,1
P00004,B058,1,1
P00004,B059,1,1
P00004,B059,1,1
P00004,B060,1,2
P00004,B060,1,2
P00004,B061,1,1
P00004,B061,1,1
P00004,B062,1,1
P00004,B062,1,1
P00004,B063,1,2
P00004,B063,1,2
P00004,B064,1,1
P00004,B064,1,1
P00004,B065,1,2
P00004,B065,1,2
P00004,B066,1,1
P00004,B066,1,1
P00004,B070,1,2
P00004,B070,1,2
P00004,B071,1,1
P00004,B071,1,1
P00004,B072,1,1
P00004,B072,1,1
P00004,B073,1,1
P00004,B073,1,1
P00004,B074,1,1
P00004,B074,1,1
P00004,B075,1,1
P00001,B139,2,1
P00004,B075,1,1
P00001,B140,2,1
P00004,B076,1,1
P00001,B141,2,1
P00004,B076,1,1
P00004,B077,1,1
P00004,B077,1,1
P00004,B078,1,4
P00004,B078,1,4
P00001,B154,2,1
P00001,B153,2,1
